,Unnamed: 0,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
2881,3,61,85.69999694824219,-1.0,0.8918319740295411,-1.0,99.375,0.02172242075204849,433.96521759033203,3,fmnist,1600,1,20800000
2882,4,81,85.61000061035156,-1.0,0.9000890266418458,-1.0,99.75,0.014543088972568513,567.1028971672057,3,fmnist,1600,1,20800000
2883,5,100,85.6500015258789,-1.0,0.8971408243179322,-1.0,99.375,0.017848114371299743,691.7408306598662,3,fmnist,1600,1,20800000
2884,0,1,24.78999900817871,-1.0,6976.3475140625,-1.0,35.75,76.07708190917968,33.994003295898445,0,fmnist,800,1,20800000
2885,1,21,69.84999847412111,-1.0,1.6552575584411622,-1.0,75.125,0.9491480970382692,117.48786067962645,0,fmnist,800,1,20800000
2886,2,41,75.6500015258789,-1.0,1.026955569458008,-1.0,80.875,0.5015430545806885,201.99030351638797,0,fmnist,800,1,20800000
2887,3,61,75.79000091552734,-1.0,0.9602164958953856,-1.0,83.625,0.4865487694740295,286.44316172599787,0,fmnist,800,1,20800000
2888,4,81,76.1500015258789,-1.0,0.9423481842041016,-1.0,85.125,0.4162275695800781,367.6950068473816,0,fmnist,800,1,20800000
2889,5,100,76.30999755859375,-1.0,0.9482962921142578,-1.0,84.0,0.5052745747566223,445.84569358825684,0,fmnist,800,1,20800000
2890,0,1,14.589999198913574,-1.0,24.301545211791996,-1.0,7.5,25.99794303894043,29.84251427650452,4,fmnist,400,0,20200000
2891,1,21,71.6500015258789,-1.0,3.8687747848510736,-1.0,85.0,1.3243348121643066,97.08971190452576,4,fmnist,400,0,20200000
2892,2,41,74.90999603271484,-1.0,2.9074220436096185,-1.0,89.5,0.5031308031082153,155.279935836792,4,fmnist,400,0,20200000
2893,3,61,74.54000091552734,-1.0,2.815072402954101,-1.0,91.0,0.34032751560211183,211.29488182067868,4,fmnist,400,0,20200000
2894,4,81,74.75999450683594,-1.0,2.8877455528259284,-1.0,93.25,0.28983460426330565,271.66070818901056,4,fmnist,400,0,20200000
2895,5,100,74.93999481201172,-1.0,2.832033947753906,-1.0,93.25,0.30700222492218016,330.71237587928766,4,fmnist,400,0,20200000
2896,0,1,17.85999870300293,-1.0,33.613506982421875,-1.0,10.125,22.416138763427735,34.15424633026123,4,fmnist,800,0,20400000
2897,1,21,77.22000122070312,-1.0,2.2635483974456787,-1.0,88.125,0.6067911922931671,116.91640400886536,4,fmnist,800,0,20400000
2898,2,41,77.38999938964844,-1.0,2.1490070320129395,-1.0,91.375,0.30068991184234617,199.082133769989,4,fmnist,800,0,20400000
2899,3,61,77.72999572753906,-1.0,2.0756118139266966,-1.0,94.125,0.2766517674922943,282.66400647163385,4,fmnist,800,0,20400000
2900,4,81,77.7699966430664,-1.0,2.0398333713531493,-1.0,92.375,0.31900909662246696,364.9171030521393,4,fmnist,800,0,20400000
2901,5,100,77.68000030517578,-1.0,2.033584108734131,-1.0,93.125,0.2752166938781738,436.4953808784485,4,fmnist,800,0,20400000
2921,0,1,10.179999351501463,-1.0,543870967.8080001,-1.0,23.5,80.04797546386719,33.348482370376594,0,fmnist,400,3,20300000
2922,1,21,69.90000152587889,-1.0,1.8494442167282104,-1.0,76.25,1.367125072479248,103.59534668922424,0,fmnist,400,3,20300000
2923,2,41,77.65999603271484,-1.0,1.0324164394378663,-1.0,89.0,0.3236906981468201,173.14393258094788,0,fmnist,400,3,20300000
2924,3,61,79.22000122070312,-1.0,0.9144915546417236,-1.0,92.0,0.2045199465751648,241.8766183853149,0,fmnist,400,3,20300000
2925,4,81,79.79999542236328,-1.0,0.8915024127960205,-1.0,92.0,0.2445356512069702,309.680517911911,0,fmnist,400,3,20300000
2926,5,100,80.04000091552734,-1.0,0.8621458345413208,-1.0,92.5,0.2148834562301636,370.35956478118896,0,fmnist,400,3,20300000
2927,0,1,17.229999542236328,-1.0,41664.6223375,-1.0,30.5,44.82998550415039,33.18482828140259,4,fmnist,400,1,20100000
2928,1,21,73.69999694824219,-1.0,1.9415587385177613,-1.0,85.0,0.5306461477279663,103.45555424690248,4,fmnist,400,1,20100000
2929,2,41,78.16999816894531,-1.0,1.3218736722946167,-1.0,92.25,0.2365340161323547,173.91819620132446,4,fmnist,400,1,20100000
2930,3,61,77.66999816894531,-1.0,1.3330386720657348,-1.0,93.5,0.18781416177749632,242.40164351463318,4,fmnist,400,1,20100000
2931,4,81,78.29999542236328,-1.0,1.3012331867218017,-1.0,93.0,0.18755367994308472,307.93415927886963,4,fmnist,400,1,20100000
2932,5,100,78.36000061035156,-1.0,1.2945966733932497,-1.0,93.75,0.14879405736923218,367.47658348083496,4,fmnist,400,1,20100000
2933,0,1,13.199999809265135,-1.0,53149.1574875,-1.0,24.0,95.3873519897461,32.726648569107056,0,fmnist,400,1,20500000
2934,1,21,65.22000122070311,-1.0,4.099748799133302,-1.0,79.25,1.4997996616363525,101.04831862449646,0,fmnist,400,1,20500000
2935,2,41,72.12999725341797,-1.0,1.9961167991638185,-1.0,83.0,0.7708022475242615,169.02575349807742,0,fmnist,400,1,20500000
2936,3,61,72.5199966430664,-1.0,1.8876703525543213,-1.0,84.25,0.6259150886535645,235.3844835758209,0,fmnist,400,1,20500000
2937,4,81,72.68000030517578,-1.0,1.867178039550781,-1.0,85.75,0.685387737751007,299.8895163536072,0,fmnist,400,1,20500000
2938,5,100,73.00999450683594,-1.0,1.831437767028809,-1.0,85.0,0.6617487621307373,359.06760334968567,0,fmnist,400,1,20500000
2951,0,1,31.189998626708984,-1.0,97.67902352294922,-1.0,7.0,22.588823318481445,30.94339656829834,3,fmnist,100,3,20700000
2952,1,21,28.19999885559082,-1.0,383.5059326660156,-1.0,100.0,0.0027711964212358,81.05293273925781,3,fmnist,100,3,20700000
2953,2,41,66.94999694824219,-1.0,7.440337480545044,-1.0,100.0,0.0010774421971291304,121.183913230896,3,fmnist,100,3,20700000
2954,3,61,70.34999847412111,-1.0,4.26858793182373,-1.0,100.0,0.001175565761514008,162.3713207244873,3,fmnist,100,3,20700000
2955,4,81,70.61000061035156,-1.0,4.035163855648041,-1.0,100.0,0.000584402063395828,207.5555477142334,3,fmnist,100,3,20700000
