,Unnamed: 0,Unnamed: 0.1,adv_loss,adv_prec1,epoch,nat_loss,nat_prec1,num_training_images,seed,source_eps,target_ds,time,train_loss,train_prec1,unfrozen_blocks
0,28,0.0,-1.0,-1.0,1,39.9289126953125,15.089999198913574,200,20600000,0,cifar10,35.69162726402283,36.85420753479004,10.5,0
1,29,1.0,-1.0,-1.0,21,7.818397065734862,53.8599967956543,200,20600000,0,cifar10,101.39866042137146,2.918859214782715,73.0,0
2,30,2.0,-1.0,-1.0,41,7.376299394226074,56.07999801635742,200,20600000,0,cifar10,170.66642665863037,0.963827624320984,84.5,0
3,31,3.0,-1.0,-1.0,61,7.606416004943847,55.709999084472656,200,20600000,0,cifar10,240.2079792022705,1.147191047668457,82.0,0
4,32,4.0,-1.0,-1.0,81,7.411535806274414,56.18000030517578,200,20600000,0,cifar10,310.0875113010406,1.0086810398101806,84.5,0
5,33,5.0,-1.0,-1.0,100,7.330679835510254,56.349998474121094,200,20600000,0,cifar10,379.51683616638184,1.455416574478149,83.0,0
6,2197,0.0,-1.0,-1.0,1,45.57799426269531,13.5,100,20000000,0,cifar10,39.29808759689331,37.39006042480469,11.0,0
7,2198,1.0,-1.0,-1.0,21,12.209208479309082,42.22999954223633,100,20000000,0,cifar10,138.28965950012207,4.3807029724121085,57.0,0
8,2199,2.0,-1.0,-1.0,41,10.26559712677002,47.69999694824219,100,20000000,0,cifar10,233.0958170890808,1.6159620285034182,82.0,0
9,2200,3.0,-1.0,-1.0,61,9.290197532653806,48.66999816894531,100,20000000,0,cifar10,324.923602104187,1.3395962715148926,82.0,0
10,2201,4.0,-1.0,-1.0,81,9.117016888427736,48.959999084472656,100,20000000,0,cifar10,415.39818501472473,0.7500454187393188,86.0,0
11,2202,5.0,-1.0,-1.0,100,9.11778465118408,48.97999954223633,100,20000000,0,cifar10,501.9645698070526,1.2812609672546391,85.0,0
12,2203,0.0,-1.0,-1.0,1,22.670646038818358,15.25,100,20000000,3,cifar10,41.011622428894036,20.533580780029297,11.0,0
13,2204,1.0,-1.0,-1.0,21,6.4747940231323255,49.959999084472656,100,20000000,3,cifar10,147.48158550262448,1.0304850339889526,79.0,0
14,2205,2.0,-1.0,-1.0,41,5.285942698287964,58.5099983215332,100,20000000,3,cifar10,249.49381279945374,0.18199455738067627,94.0,0
15,2206,3.0,-1.0,-1.0,61,5.268150191879274,58.71999740600586,100,20000000,3,cifar10,352.9102237224579,0.15634867548942566,95.0,0
16,2207,4.0,-1.0,-1.0,81,5.259748969650269,58.599998474121094,100,20000000,3,cifar10,455.9690930843353,0.19862647354602814,97.0,0
17,2208,5.0,-1.0,-1.0,100,5.2574560203552245,58.79999923706055,100,20000000,3,cifar10,554.4485464096068,0.15407629311084747,94.0,0
18,2209,0.0,-1.0,-1.0,1,30.95279846801758,12.229999542236328,100,20000000,4,cifar10,41.21763157844544,27.20142364501953,15.0,0
19,2210,1.0,-1.0,-1.0,21,7.402210473632812,51.16999816894531,100,20000000,4,cifar10,144.71934223175052,1.2101197242736816,87.0,0
20,2211,2.0,-1.0,-1.0,41,6.37316150894165,58.27999877929688,100,20000000,4,cifar10,250.44271993637085,0.08640048652887344,98.0,0
21,2212,3.0,-1.0,-1.0,61,6.312923713684082,58.3599967956543,100,20000000,4,cifar10,350.1060991287232,0.07515857368707657,96.0,0
22,2213,4.0,-1.0,-1.0,81,6.293485778045652,58.349998474121094,100,20000000,4,cifar10,456.15709042549133,0.18641397356987,94.0,0
23,2214,5.0,-1.0,-1.0,100,6.285735605239867,58.40999984741211,100,20000000,4,cifar10,553.1029832363129,0.369578093290329,95.0,0
24,2215,0.0,-1.0,-1.0,1,37.89311311035157,10.719999313354492,100,20100000,0,cifar10,38.004572868347175,44.934791564941406,9.0,0
25,2216,1.0,-1.0,-1.0,21,11.300210315704346,43.59000015258789,100,20100000,0,cifar10,133.18781590461728,6.538890361785889,61.0,0
26,2217,2.0,-1.0,-1.0,41,9.879282790374756,50.86999893188477,100,20100000,0,cifar10,227.9195072650909,1.8295199871063232,84.0,0
27,2218,3.0,-1.0,-1.0,61,10.853079796600342,48.86000061035156,100,20100000,0,cifar10,322.9807896614075,1.451121211051941,84.0,0
28,2219,4.0,-1.0,-1.0,81,10.905804723358154,48.68000030517578,100,20100000,0,cifar10,410.8567917346954,1.9099783897399905,81.0,0
29,2220,5.0,-1.0,-1.0,100,10.778675395202637,48.75,100,20100000,0,cifar10,492.13973212242126,1.3634964227676392,87.0,0
30,2221,0.0,-1.0,-1.0,1,32.57978070068359,10.619999885559082,100,20100000,3,cifar10,39.04845094680786,24.96073913574219,11.0,0
31,2222,1.0,-1.0,-1.0,21,9.788380976867677,39.68000030517578,100,20100000,3,cifar10,139.0180480480194,1.7946265935897827,80.0,0
32,2223,2.0,-1.0,-1.0,41,7.450250517272949,51.65999984741211,100,20100000,3,cifar10,231.55062127113342,0.3098360896110535,95.0,0
33,2224,3.0,-1.0,-1.0,61,6.928545051574707,52.87999725341797,100,20100000,3,cifar10,330.0070412158966,0.4780823588371277,93.0,0
34,2225,4.0,-1.0,-1.0,81,6.881342138671875,52.81999969482422,100,20100000,3,cifar10,422.711225271225,0.0793493390083313,97.0,0
35,2226,5.0,-1.0,-1.0,100,6.824513444519043,53.13999938964844,100,20100000,3,cifar10,508.78428626060486,0.16026778519153595,97.0,0
36,2227,0.0,-1.0,-1.0,1,22.996339782714845,10.779999732971193,100,20100000,4,cifar10,38.64944624900818,31.569414138793945,9.0,0
