,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
17,18,41.71999740600586,-1.0,2.1841632831573485,-1.0,43.461997985839844,2.091620082130432,1448.2163200378418,-1,cifar100,50000,-1,-1
18,19,41.34000015258789,-1.0,2.276666323852539,-1.0,45.47599792480469,2.001161330947876,1502.2693316936493,-1,cifar100,50000,-1,-1
19,20,43.55999755859375,-1.0,2.1329241241455077,-1.0,47.487998962402344,1.9183981915283204,1556.3005907535553,-1,cifar100,50000,-1,-1
20,21,45.32999801635742,-1.0,2.055318090057373,-1.0,48.86000061035156,1.8627403646087646,1610.9039311408997,-1,cifar100,50000,-1,-1
21,22,46.68000030517578,-1.0,1.9830784679412843,-1.0,49.77199935913086,1.8120886135101317,1665.4478163719177,-1,cifar100,50000,-1,-1
22,23,46.57999801635742,-1.0,2.0346280895233155,-1.0,51.21399688720703,1.7580388718414306,1720.6972179412842,-1,cifar100,50000,-1,-1
23,24,47.04999923706055,-1.0,2.0020649173736573,-1.0,52.08199691772461,1.7220905111694336,1775.2025029659271,-1,cifar100,50000,-1,-1
24,25,47.0,-1.0,1.996615306854248,-1.0,52.8859977722168,1.6837788989257811,1829.6897056102753,-1,cifar100,50000,-1,-1
25,26,47.55999755859375,-1.0,1.9769975154876709,-1.0,54.16999816894531,1.6414188967895509,1884.0507912635803,-1,cifar100,50000,-1,-1
26,27,43.47999954223633,-1.0,2.2179405170440676,-1.0,54.64799880981445,1.6202521352767945,1938.5555863380432,-1,cifar100,50000,-1,-1
27,28,47.57999801635742,-1.0,1.9630793302536012,-1.0,55.205997467041016,1.5929199283599853,1992.615364074707,-1,cifar100,50000,-1,-1
28,29,50.27000045776367,-1.0,1.8944061435699462,-1.0,55.727996826171875,1.5704806355667114,2048.3302597999573,-1,cifar100,50000,-1,-1
29,30,49.119998931884766,-1.0,1.87466202583313,-1.0,56.17799758911133,1.5481009398651122,2103.065996170044,-1,cifar100,50000,-1,-1
30,31,51.3599967956543,-1.0,1.7905856243133544,-1.0,57.045997619628906,1.5220036780548096,2157.070520401001,-1,cifar100,50000,-1,-1
31,32,52.43000030517578,-1.0,1.7671138065338134,-1.0,57.27799987792969,1.509522714691162,2211.688961982727,-1,cifar100,50000,-1,-1
32,33,49.68000030517578,-1.0,1.9047865058898925,-1.0,57.69999694824219,1.4877423160552978,2267.646101951599,-1,cifar100,50000,-1,-1
33,34,51.72999954223633,-1.0,1.809287873840332,-1.0,57.91600036621094,1.4789165497207641,2321.789745092392,-1,cifar100,50000,-1,-1
34,35,53.91999816894531,-1.0,1.6781917833328248,-1.0,58.5099983215332,1.4635746151733398,2375.8315241336823,-1,cifar100,50000,-1,-1
35,36,52.5,-1.0,1.7698126932144165,-1.0,59.17799758911133,1.436914605293274,2430.409880399704,-1,cifar100,50000,-1,-1
36,37,53.5099983215332,-1.0,1.7362344474792482,-1.0,59.145999908447266,1.4298713861083985,2485.1013791561127,-1,cifar100,50000,-1,-1
37,38,51.53999710083008,-1.0,1.8485641033172608,-1.0,59.275997161865234,1.4281464767837524,2539.2848262786865,-1,cifar100,50000,-1,-1
38,39,54.02000045776367,-1.0,1.6872087162017821,-1.0,59.9219970703125,1.405993386154175,2593.2398409843445,-1,cifar100,50000,-1,-1
39,40,55.029998779296875,-1.0,1.6671636177062987,-1.0,60.025997161865234,1.4010538977432252,2647.7337992191315,-1,cifar100,50000,-1,-1
40,41,52.27000045776367,-1.0,1.8127221292495728,-1.0,60.19599914550781,1.3880518841171265,2702.2167859077454,-1,cifar100,50000,-1,-1
41,42,48.61000061035156,-1.0,1.9749029594421386,-1.0,60.545997619628906,1.3770029473876952,2756.199693441391,-1,cifar100,50000,-1,-1
42,43,53.71999740600586,-1.0,1.7234224060058594,-1.0,61.03999710083008,1.364918358039856,2810.1628403663635,-1,cifar100,50000,-1,-1
43,44,52.81999969482422,-1.0,1.7967197761535645,-1.0,60.97200012207031,1.361056739501953,2864.0822517871857,-1,cifar100,50000,-1,-1
44,45,49.28999710083008,-1.0,1.97279197807312,-1.0,61.16599655151367,1.3489985251617431,2918.0715873241425,-1,cifar100,50000,-1,-1
45,46,50.0099983215332,-1.0,2.0875777320861815,-1.0,61.94199752807617,1.3376724403762816,2972.062544107437,-1,cifar100,50000,-1,-1
46,47,52.6099967956543,-1.0,1.7877356189727782,-1.0,61.8120002746582,1.333958299331665,3026.0519511699677,-1,cifar100,50000,-1,-1
47,48,51.6099967956543,-1.0,1.8685565275192262,-1.0,61.93199920654297,1.3300138702011108,3080.205964565277,-1,cifar100,50000,-1,-1
48,49,55.099998474121094,-1.0,1.6641448347091674,-1.0,62.269996643066406,1.318811082344055,3134.1866931915283,-1,cifar100,50000,-1,-1
49,50,54.619998931884766,-1.0,1.6790077983856202,-1.0,62.2339973449707,1.3155786409759522,3188.9722435474396,-1,cifar100,50000,-1,-1
50,51,71.30999755859375,-1.0,0.9830597431182861,-1.0,74.58000183105469,0.8628523933029175,3242.9895696640015,-1,cifar100,50000,-1,-1
51,52,72.02999877929688,-1.0,0.9570040990829468,-1.0,78.70999908447266,0.7092073595046997,3297.3674380779266,-1,cifar100,50000,-1,-1
52,53,72.7699966430664,-1.0,0.9610089752197266,-1.0,80.42399597167969,0.6510650793647766,3351.7984566688538,-1,cifar100,50000,-1,-1
53,54,72.93999481201172,-1.0,0.9579547996520996,-1.0,81.6719970703125,0.6004753755092621,3406.3489072322845,-1,cifar100,50000,-1,-1
54,55,72.7699966430664,-1.0,0.9513394254684449,-1.0,82.84600067138672,0.5656442300605774,3460.7888329029083,-1,cifar100,50000,-1,-1
55,56,72.79000091552734,-1.0,0.9741044580459595,-1.0,83.8759994506836,0.5310214700317383,3514.816516160965,-1,cifar100,50000,-1,-1
56,57,73.47000122070312,-1.0,0.9616045166492462,-1.0,85.07799530029297,0.4900380934047699,3568.740194797516,-1,cifar100,50000,-1,-1
57,58,73.58000183105469,-1.0,0.9720286724090577,-1.0,85.51599884033203,0.46973098128318785,3623.22847700119,-1,cifar100,50000,-1,-1
58,59,73.25999450683594,-1.0,0.9761655166625977,-1.0,86.31999969482422,0.4418862770462036,3677.7448070049286,-1,cifar100,50000,-1,-1
59,60,73.04999542236328,-1.0,0.9887664869308471,-1.0,87.00999450683594,0.419819581489563,3731.751303434372,-1,cifar100,50000,-1,-1
60,61,72.73999786376953,-1.0,1.025266145324707,-1.0,88.05799865722656,0.390780055141449,3785.7881910800934,-1,cifar100,50000,-1,-1
61,62,72.47000122070312,-1.0,1.0308991497039794,-1.0,88.13600158691406,0.38251037611961364,3839.7333822250366,-1,cifar100,50000,-1,-1
62,63,72.16999816894531,-1.0,1.079022128868103,-1.0,88.65799713134766,0.36548236508369447,3893.7522537708282,-1,cifar100,50000,-1,-1
