,Unnamed: 0,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
6,0,1,10.06999969482422,-1.0,24.75705432434082,-1.0,11.0,36.31311416625977,32.72709321975708,0,kmnist,100,0,20600000
7,1,21,14.65999984741211,-1.0,16.569754486083983,-1.0,42.0,9.206602096557617,82.69435048103333,0,kmnist,100,0,20600000
8,2,41,24.82999992370605,-1.0,12.445279580688474,-1.0,62.0,4.413933753967285,131.47481155395508,0,kmnist,100,0,20600000
9,3,61,28.35999870300293,-1.0,12.116338923645019,-1.0,61.0,3.933381319046021,176.0472092628479,0,kmnist,100,0,20600000
10,4,81,28.279998779296875,-1.0,12.17864407043457,-1.0,68.0,3.3603241443634038,218.9085001945496,0,kmnist,100,0,20600000
11,5,100,28.189998626708984,-1.0,12.218794491577148,-1.0,62.0,3.4287314414978027,256.8306119441986,0,kmnist,100,0,20600000
18,0,1,57.709999084472656,-1.0,1.4639156646728515,-1.0,50.859375,7.249634422659874,128.71364903450012,0,kmnist,25600,3,20300000
19,1,6,79.45999908447266,-1.0,0.6553791412353516,-1.0,91.23828125,0.29041834481060497,674.9751451015472,0,kmnist,25600,3,20300000
20,2,11,85.57999420166016,-1.0,0.4940458719730377,-1.0,95.078125,0.17235431488603353,1220.0641119480133,0,kmnist,25600,3,20300000
21,3,16,86.83999633789062,-1.0,0.4563511917591095,-1.0,95.74609375,0.14401223426684734,1766.3619637489319,0,kmnist,25600,3,20300000
22,4,21,87.6500015258789,-1.0,0.435691943693161,-1.0,96.328125,0.12171866040676832,2312.535369873047,0,kmnist,25600,3,20300000
23,5,26,87.90999603271484,-1.0,0.4291716881752014,-1.0,96.5859375,0.12066929731518032,2860.320958137512,0,kmnist,25600,3,20300000
24,6,30,87.86000061035156,-1.0,0.4236281615257263,-1.0,96.515625,0.11929505778476596,3303.475239515305,0,kmnist,25600,3,20300000
38,0,1,85.81999969482422,-1.0,0.4810660906791687,-1.0,86.53515625,1.5907004759460688,136.43144750595093,3,kmnist,25600,3,20400000
39,1,6,92.70999908447266,-1.0,0.2541438095092773,-1.0,98.37890625,0.0612322601955384,686.9631507396697,3,kmnist,25600,3,20400000
40,2,11,95.00999450683594,-1.0,0.18341173987388606,-1.0,99.40234375,0.025843722540885208,1236.6918895244596,3,kmnist,25600,3,20400000
41,3,16,95.6199951171875,-1.0,0.1649506067752838,-1.0,99.7890625,0.01498674929141998,1783.4888112545013,3,kmnist,25600,3,20400000
42,4,21,95.72000122070312,-1.0,0.16826694855690005,-1.0,99.90625,0.0108579012285918,2331.753321170807,3,kmnist,25600,3,20400000
43,5,26,95.66999816894531,-1.0,0.16920342631340027,-1.0,99.9140625,0.010396709963679314,2880.877494096756,3,kmnist,25600,3,20400000
44,6,30,95.80999755859376,-1.0,0.16379199304580688,-1.0,99.91796875,0.010232542492449285,3314.190199136734,3,kmnist,25600,3,20400000
45,0,1,28.38999938964844,-1.0,177.16882147216796,-1.0,54.5,8.745451831817627,39.84265732765198,3,kmnist,1600,1,20400000
46,1,21,77.0999984741211,-1.0,2.096000349235535,-1.0,99.1875,0.03255449414253235,175.97237586975098,3,kmnist,1600,1,20400000
47,2,41,82.61000061035156,-1.0,1.641811953163147,-1.0,99.875,0.0025482809543609613,312.6455323696136,3,kmnist,1600,1,20400000
48,3,61,83.04999542236328,-1.0,1.5758260743141177,-1.0,99.9375,0.00259124755859375,448.579873085022,3,kmnist,1600,1,20400000
49,4,81,82.91999816894531,-1.0,1.5767898212432858,-1.0,99.9375,0.002100266218185425,583.7427515983583,3,kmnist,1600,1,20400000
50,5,100,82.97999572753906,-1.0,1.5906512411117553,-1.0,100.0,0.001711612343788147,715.222142457962,3,kmnist,1600,1,20400000
51,0,1,17.489999771118164,-1.0,540.5301949707032,-1.0,10.0,24.637208938598636,32.329348802566535,4,kmnist,100,3,20200000
52,1,21,21.40999984741211,-1.0,149.22731843261718,-1.0,90.0,0.3124375641345978,88.02706718444824,4,kmnist,100,3,20200000
53,2,41,44.53999710083008,-1.0,5.9441380714416505,-1.0,99.0,0.035146139562129974,139.444575548172,4,kmnist,100,3,20200000
54,3,61,47.459999084472656,-1.0,4.418975184631348,-1.0,99.0,0.022476205602288246,182.8896372318268,4,kmnist,100,3,20200000
55,4,81,48.05999755859375,-1.0,4.242278807830811,-1.0,99.0,0.01732528209686279,225.18221378326416,4,kmnist,100,3,20200000
56,5,100,48.04999923706055,-1.0,4.220979681396484,-1.0,100.0,0.01163887046277523,270.0823833942413,4,kmnist,100,3,20200000
63,0,1,8.130000114440918,-1.0,32.36562752685547,-1.0,8.0,25.26008605957031,32.55250597000122,4,kmnist,100,0,20100000
64,1,21,26.420000076293945,-1.0,12.929114910888671,-1.0,62.0,3.33288049697876,82.60620927810669,4,kmnist,100,0,20100000
65,2,41,37.36999893188477,-1.0,9.746242033386233,-1.0,88.0,0.5679901242256165,132.08402180671692,4,kmnist,100,0,20100000
66,3,61,37.87999725341797,-1.0,9.29105890197754,-1.0,92.0,0.2721506357192993,180.1536557674408,4,kmnist,100,0,20100000
67,4,81,37.96999740600586,-1.0,9.211780233764648,-1.0,87.0,0.6574327349662781,226.0979199409485,4,kmnist,100,0,20100000
68,5,100,37.959999084472656,-1.0,9.19114100036621,-1.0,91.0,0.332662969827652,266.35997486114496,4,kmnist,100,0,20100000
69,0,1,13.699999809265135,-1.0,26.344616159057622,-1.0,7.125,15.595752487182615,35.306402683258064,3,kmnist,800,0,20500000
70,1,21,59.48999786376953,-1.0,3.1497958526611334,-1.0,85.625,0.57216805934906,119.04442524909972,3,kmnist,800,0,20500000
71,2,41,62.93000030517578,-1.0,2.715956621170044,-1.0,91.375,0.2910128486156464,201.9400269985199,3,kmnist,800,0,20500000
72,3,61,62.88999938964844,-1.0,2.65987834815979,-1.0,91.5,0.25429205656051634,285.4275424480438,3,kmnist,800,0,20500000
73,4,81,63.12999725341797,-1.0,2.638781439399719,-1.0,91.875,0.2378890991210937,367.22736191749567,3,kmnist,800,0,20500000
74,5,100,63.16999816894531,-1.0,2.6410515516281134,-1.0,92.0,0.23194897174835205,440.89094400405884,3,kmnist,800,0,20500000
81,0,1,10.0,-1.0,28106.35194375,-1.0,18.75,82.04791969299315,39.58944511413574,0,kmnist,1600,3,20000000
82,1,21,61.93000030517578,-1.0,1.331342539215088,-1.0,85.6875,0.476647412776947,199.99414253234863,0,kmnist,1600,3,20000000
83,2,41,72.58999633789062,-1.0,0.9901555569648742,-1.0,94.375,0.22068837940692898,358.9857234954834,0,kmnist,1600,3,20000000
84,3,61,73.6199951171875,-1.0,0.9281793105125428,-1.0,94.3125,0.20558875381946565,518.6126143932344,0,kmnist,1600,3,20000000
85,4,81,73.58999633789062,-1.0,0.9486643767356872,-1.0,95.25,0.1817827832698822,679.6687407493591,0,kmnist,1600,3,20000000
86,5,100,73.58999633789062,-1.0,0.9425679997444152,-1.0,94.6875,0.1901371729373932,825.0555312633514,0,kmnist,1600,3,20000000
87,0,1,9.630000114440918,-1.0,331294142.6176,-1.0,24.75,46.29635162353516,35.70840167999268,4,kmnist,400,3,20600000
88,1,21,66.12999725341797,-1.0,1.4932057085037231,-1.0,93.5,0.2751816141605377,110.56288409233092,4,kmnist,400,3,20600000
89,2,41,72.50999450683594,-1.0,1.2377276319503785,-1.0,98.75,0.058273544311523436,184.63148212432858,4,kmnist,400,3,20600000
90,3,61,73.25,-1.0,1.166833777999878,-1.0,99.25,0.051196048855781565,258.3440489768982,4,kmnist,400,3,20600000
91,4,81,72.91999816894531,-1.0,1.1713097106933594,-1.0,99.5,0.04168109893798829,331.06180238723755,4,kmnist,400,3,20600000
92,5,100,73.25999450683594,-1.0,1.1643609554290772,-1.0,99.5,0.04928531169891357,395.4631378650665,4,kmnist,400,3,20600000
93,0,1,13.81999969482422,-1.0,83.68808032226562,-1.0,12.0,21.08566093444824,32.616233825683594,3,kmnist,100,1,20900000
94,1,21,42.209999084472656,-1.0,53.58011199951172,-1.0,100.0,0.0016598892398178575,86.95953631401062,3,kmnist,100,1,20900000
95,2,41,50.65999984741211,-1.0,17.90118818359375,-1.0,100.0,0.0005902480916120112,137.010329246521,3,kmnist,100,1,20900000
96,3,61,51.54999923706055,-1.0,15.664365805053713,-1.0,100.0,1.7547607740198148e-06,183.58751344680786,3,kmnist,100,1,20900000
97,4,81,50.54999923706055,-1.0,16.14614709472656,-1.0,100.0,1.0032654245151207e-05,228.2848551273346,3,kmnist,100,1,20900000
98,5,100,49.98999786376953,-1.0,16.352053146362305,-1.0,100.0,3.772735726670362e-05,269.2605447769165,3,kmnist,100,1,20900000
105,0,1,66.48999786376953,-1.0,2.390292372894287,-1.0,72.34375,3.5310262858867647,49.43051981925965,3,kmnist,6400,1,20500000
106,1,11,83.97000122070312,-1.0,0.874026483631134,-1.0,98.0,0.05941745486110449,296.64178013801575,3,kmnist,6400,1,20500000
107,2,21,90.27999877929688,-1.0,0.5597032776355744,-1.0,99.859375,0.00596051063388586,538.8132281303407,3,kmnist,6400,1,20500000
108,3,31,90.82999420166016,-1.0,0.5275536105155945,-1.0,99.921875,0.00429066076874733,781.8981478214264,3,kmnist,6400,1,20500000
109,4,41,90.75999450683594,-1.0,0.5307931762218475,-1.0,99.921875,0.003658299185335636,1023.0166063308716,3,kmnist,6400,1,20500000
110,5,50,90.79000091552734,-1.0,0.5275420558452606,-1.0,99.890625,0.004348403662443161,1243.4302656650545,3,kmnist,6400,1,20500000
111,0,1,10.050000190734863,-1.0,5272.7181015625,-1.0,25.5,29.80305549621582,32.895524263381965,4,kmnist,200,1,20600000
112,1,21,54.75,-1.0,11.23444718322754,-1.0,96.5,0.15399445414543153,94.06508731842041,4,kmnist,200,1,20600000
113,2,41,58.1099967956543,-1.0,7.701077548217772,-1.0,100.0,0.006139850728213787,151.75648260116574,4,kmnist,200,1,20600000
114,3,61,57.90999984741211,-1.0,7.640702011108399,-1.0,100.0,0.0005255031562410295,207.4720177650452,4,kmnist,200,1,20600000
115,4,81,58.03999710083008,-1.0,7.808738940429688,-1.0,98.5,0.06883336782455445,261.7188801765442,4,kmnist,200,1,20600000
116,5,100,58.0099983215332,-1.0,7.701764685058594,-1.0,100.0,0.00028133392392192035,307.792738199234,4,kmnist,200,1,20600000
129,0,1,11.979999542236328,-1.0,370.6250961425781,-1.0,8.0,25.26008605957031,32.78319191932678,4,kmnist,100,3,20100000
130,1,21,17.489999771118164,-1.0,169.70424680175782,-1.0,93.0,0.2700027823448181,86.40373706817627,4,kmnist,100,3,20100000
131,2,41,45.18000030517578,-1.0,8.200724006652832,-1.0,98.0,0.03103250451385975,138.4884204864502,4,kmnist,100,3,20100000
132,3,61,49.709999084472656,-1.0,5.272732754516602,-1.0,100.0,0.007724423427134751,188.17002749443054,4,kmnist,100,3,20100000
133,4,81,49.93000030517578,-1.0,5.212584792327881,-1.0,100.0,0.002647719345986843,236.84367990493772,4,kmnist,100,3,20100000
134,5,100,50.13999938964844,-1.0,5.0274805725097655,-1.0,100.0,0.004235649015754461,278.4289321899414,4,kmnist,100,3,20100000
148,0,1,22.94999885559082,-1.0,11.248458517456054,-1.0,23.71875,10.670055446624756,38.297593355178826,3,kmnist,3200,0,20400000
149,1,11,69.80999755859375,-1.0,1.8866471511840817,-1.0,85.75,0.6166536605358124,170.37078094482422,3,kmnist,3200,0,20400000
150,2,21,73.04999542236328,-1.0,1.5162293952941894,-1.0,90.34375,0.3489342421293259,300.60654449462885,3,kmnist,3200,0,20400000
151,3,31,73.56999969482422,-1.0,1.4685226345062257,-1.0,90.09375,0.32780199468135834,430.61507058143616,3,kmnist,3200,0,20400000
152,4,41,73.65999603271484,-1.0,1.4547158222198486,-1.0,90.90625,0.3174779611825943,560.4317560195923,3,kmnist,3200,0,20400000
153,5,50,73.72999572753906,-1.0,1.4529956550598144,-1.0,89.9375,0.3309877008199692,680.1776533126831,3,kmnist,3200,0,20400000
154,0,1,9.84000015258789,-1.0,1322.1723599609375,-1.0,11.0,30.07750701904297,32.73751497268677,0,kmnist,100,3,20200000
155,1,21,10.0,-1.0,3009.676466796875,-1.0,28.0,5.627967357635498,88.22515368461609,0,kmnist,100,3,20200000
156,2,41,23.989999771118164,-1.0,11.83418244934082,-1.0,68.0,2.0031213760375977,143.26691246032715,0,kmnist,100,3,20200000
157,3,61,28.149999618530273,-1.0,4.239601978302002,-1.0,72.0,1.3247599601745603,195.1458866596222,0,kmnist,100,3,20200000
158,4,81,29.759998321533203,-1.0,4.330206834793091,-1.0,71.0,0.7994419932365417,241.37915086746216,0,kmnist,100,3,20200000
159,5,100,29.729999542236328,-1.0,4.779675398635863,-1.0,71.0,0.9058074355125428,286.04284834861755,0,kmnist,100,3,20200000
160,0,1,20.989999771118164,-1.0,527.6199357421875,-1.0,45.5,13.737404441833494,36.30193567276001,3,kmnist,800,1,20700000
161,1,21,74.80999755859375,-1.0,2.0534795740127563,-1.0,98.125,0.06903828978538512,125.13595032691956,3,kmnist,800,1,20700000
162,2,41,77.05999755859375,-1.0,2.083509094238281,-1.0,100.0,0.0035779988765716553,212.7316415309906,3,kmnist,800,1,20700000
163,3,61,77.18999481201172,-1.0,2.0487045541763305,-1.0,100.0,0.002937914133071899,300.8793995380402,3,kmnist,800,1,20700000
164,4,81,78.13999938964844,-1.0,1.9637751779556276,-1.0,99.875,0.006735283136367798,387.58219575881964,3,kmnist,800,1,20700000
165,5,100,78.0,-1.0,1.9676243448257449,-1.0,100.0,0.0010333466529846194,463.934225320816,3,kmnist,800,1,20700000
