,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,target_ds,num_training_images,unfrozen_blocks,seed
0,1,11.239999771118164,-1.0,31.430528576660155,-1.0,16.0,49.335540771484375,56.11198019981384,cifar10,100,0,10700000
1,6,11.829999923706055,-1.0,33.59764938964844,-1.0,12.0,35.906593322753906,103.87474322319031,cifar10,100,0,10700000
2,11,17.93000030517578,-1.0,27.789503451538085,-1.0,16.0,19.851791381835938,146.57353854179382,cifar10,100,0,10700000
3,16,19.350000381469727,-1.0,23.204685189819337,-1.0,23.0,16.452678680419922,197.31285119056702,cifar10,100,0,10700000
4,21,20.170000076293945,-1.0,18.880651095581054,-1.0,34.0,9.813673973083496,258.2554278373718,cifar10,100,0,10700000
5,26,20.119998931884766,-1.0,18.08504867553711,-1.0,31.0,11.560909271240234,323.3753113746643,cifar10,100,0,10700000
6,30,20.18000030517578,-1.0,17.531010244750977,-1.0,30.0,12.286271095275879,384.955078125,cifar10,100,0,10700000
0,1,13.799999237060547,-1.0,33.92582978515625,-1.0,8.0,36.82381820678711,57.89148426055908,cifar10,100,0,10600000
1,6,17.31999969482422,-1.0,39.252199005126954,-1.0,11.0,24.933259963989258,121.5278000831604,cifar10,100,0,10600000
2,11,19.85999870300293,-1.0,25.060527093505858,-1.0,28.0,15.49350357055664,180.10809421539307,cifar10,100,0,10600000
3,16,22.59000015258789,-1.0,21.17801358947754,-1.0,34.0,12.292989730834961,227.55783343315125,cifar10,100,0,10600000
4,21,26.479999542236328,-1.0,17.397644088745118,-1.0,39.0,9.509535789489746,266.68207263946533,cifar10,100,0,10600000
5,26,26.51999855041504,-1.0,16.216029779052736,-1.0,32.0,11.209041595458984,324.6907513141632,cifar10,100,0,10600000
6,30,26.809999465942383,-1.0,15.538584008789062,-1.0,38.0,9.403021812438965,386.9922170639038,cifar10,100,0,10600000
0,1,7.899999618530273,-1.0,32.055492935180666,-1.0,5.0,46.8906135559082,57.99988389015198,cifar10,100,0,10500000
1,6,16.90999984741211,-1.0,39.42356077880859,-1.0,17.0,25.863691329956055,125.82431244850159,cifar10,100,0,10500000
2,11,22.260000228881836,-1.0,31.450490637207032,-1.0,29.0,21.662290573120117,189.12968063354492,cifar10,100,0,10500000
3,16,25.34000015258789,-1.0,27.779588763427736,-1.0,42.0,17.435428619384766,254.86273527145386,cifar10,100,0,10500000
4,21,27.399999618530273,-1.0,26.16511433105469,-1.0,39.0,16.73207664489746,321.98217821121216,cifar10,100,0,10500000
5,26,27.3799991607666,-1.0,25.519431793212892,-1.0,37.0,18.066984176635742,386.69164872169495,cifar10,100,0,10500000
