,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
0,1,21.489999771118164,-1.0,1251.210867578125,-1.0,15.0,24.539411544799805,25.515634775161743,0,cifar10,100,1,10100000
1,6,17.600000381469727,-1.0,15814.7920796875,-1.0,55.0,25.65143394470215,58.02766036987305,0,cifar10,100,1,10100000
2,11,22.78999900817871,-1.0,1568.4489646484376,-1.0,73.0,7.727868556976318,86.21216678619385,0,cifar10,100,1,10100000
3,16,26.219999313354492,-1.0,340.76891962890625,-1.0,73.0,5.730612754821777,116.35620069503784,0,cifar10,100,1,10100000
4,21,35.97999954223633,-1.0,125.10207080078125,-1.0,85.0,3.973010540008545,146.2733473777771,0,cifar10,100,1,10100000
5,26,46.41999816894531,-1.0,60.667934619140624,-1.0,89.0,3.3420984745025635,175.431715965271,0,cifar10,100,1,10100000
6,30,50.68000030517578,-1.0,44.138985876464844,-1.0,86.0,3.5156116485595703,204.03269958496094,0,cifar10,100,1,10100000
0,1,19.170000076293945,-1.0,977.6254240234375,-1.0,10.0,26.702730178833008,25.75604748725891,0,cifar10,100,1,10000000
1,6,37.119998931884766,-1.0,5386.880675,-1.0,70.0,22.11224937438965,58.652470111846924,0,cifar10,100,1,10000000
2,11,41.119998931884766,-1.0,611.4161938476562,-1.0,82.0,5.676084518432617,88.61337399482727,0,cifar10,100,1,10000000
3,16,47.29999923706055,-1.0,156.70417456054687,-1.0,83.0,5.035223007202148,118.5048770904541,0,cifar10,100,1,10000000
4,21,47.94999694824219,-1.0,87.78615703125,-1.0,89.0,2.457504987716675,148.59165024757385,0,cifar10,100,1,10000000
5,26,47.16999816894531,-1.0,62.489949255371094,-1.0,86.0,3.748811960220337,178.12097191810608,0,cifar10,100,1,10000000
6,30,47.04999923706055,-1.0,55.046614221191405,-1.0,87.0,1.5975232124328613,206.02774906158447,0,cifar10,100,1,10000000
0,1,23.239999771118164,-1.0,1369.701281640625,-1.0,8.0,70.16410827636719,25.712984085083008,0,cifar10,100,1,10300000
1,6,20.459999084472656,-1.0,8017.148459375,-1.0,77.0,14.186574935913086,58.20314168930054,0,cifar10,100,1,10300000
2,11,18.760000228881836,-1.0,1196.404262890625,-1.0,82.0,5.979642391204834,88.49007678031921,0,cifar10,100,1,10300000
3,16,29.67999839782715,-1.0,254.6672130859375,-1.0,83.0,3.6555347442626953,116.7580976486206,0,cifar10,100,1,10300000
4,21,43.439998626708984,-1.0,112.98392391357422,-1.0,91.0,1.3908175230026245,146.11277627944946,0,cifar10,100,1,10300000
5,26,49.22999954223633,-1.0,76.46266401367187,-1.0,91.0,1.6085314750671387,175.65483260154724,0,cifar10,100,1,10300000
6,30,51.099998474121094,-1.0,66.25643333740234,-1.0,93.0,1.370139718055725,204.1205050945282,0,cifar10,100,1,10300000
0,1,26.989999771118164,-1.0,962.61037734375,-1.0,12.0,28.838563919067383,25.791698932647705,0,cifar10,100,1,10200000
1,6,18.829999923706055,-1.0,10610.05224375,-1.0,66.0,30.30764389038086,58.735010385513306,0,cifar10,100,1,10200000
2,11,29.189998626708984,-1.0,885.0675853515625,-1.0,83.0,6.075188636779785,89.21165299415588,0,cifar10,100,1,10200000
3,16,41.68000030517578,-1.0,204.80900432128905,-1.0,88.0,4.3595290184021,119.34692859649658,0,cifar10,100,1,10200000
4,21,47.689998626708984,-1.0,105.22726411132813,-1.0,88.0,3.752127170562744,149.04560089111328,0,cifar10,100,1,10200000
5,26,50.62999725341797,-1.0,69.51859140625,-1.0,96.0,0.8155930042266846,178.5832130908966,0,cifar10,100,1,10200000
6,30,51.279998779296875,-1.0,59.159232904052736,-1.0,92.0,2.751570463180542,206.88366746902466,0,cifar10,100,1,10200000
0,1,86.68000030517578,-1.0,0.6589652255058288,-1.0,82.96399688720703,1.2444910030269623,150.20705652236938,3,cifar10,60000,1,10000000
1,6,92.0199966430664,-1.0,0.24298926529884338,-1.0,92.81199645996094,0.20919481225967407,831.8881499767303,3,cifar10,60000,1,10000000
2,11,94.25999450683594,-1.0,0.16489453387260436,-1.0,96.32999420166016,0.10576025873661041,1514.5901548862457,3,cifar10,60000,1,10000000
3,16,94.31999969482422,-1.0,0.17317459144592284,-1.0,98.25999450683594,0.05373911859512329,2195.510065317154,3,cifar10,60000,1,10000000
